Data,Algo,K,Precision@k,Recall@k,NDCG@k,Mean average precision,novelty,diversity
1807948,als,10,0.057402816,0.038250598,0.061321268,0.027243469,11.24425464,0.824157348
1807948,als,25,0.046890523,0.077669456,0.071880712,0.024977454,11.34553583,0.860217844
1807948,als,50,0.038445051,0.126557112,0.094910716,0.029402203,11.46131364,0.889703501
5423844,bpr,10,0.086434125,0.055475487,0.096545485,0.029233304,10.40717292,0.81221512
5423844,bpr,25,0.06475478,0.103681318,0.103502596,0.038558467,10.61116936,0.851222769
5423844,bpr,50,0.050099601,0.160598195,0.129788371,0.0451049,10.80246305,0.87966979
5423844,nmf,10,0.000504308,0.000325605,0.000468375,8.19E-05,16.89194956,0.99904002
5423844,nmf,25,0.000453877,0.000739538,0.000613927,0.000107356,17.34519312,0.998978026
5423844,nmf,50,0.000489178,0.001604736,0.001021146,0.000131867,17.43901914,0.997971209
5423844,random,10,0.000584156,0.000370842,0.000606729,0.000112834,16.67136212,0.998416524
5423844,random,25,0.000640471,0.001018935,0.000856333,0.000151623,16.67118864,0.998414222
5423844,random,50,0.000651397,0.002070088,0.00135591,0.000180641,16.67031809,0.998408724
